,X,sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,salary,status
1,5,5,M,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,425000,Placed
2,11,11,M,58,Central,61,Central,Commerce,60,Comm&Mgmt,Yes,62,Mkt&HR,60.85,260000,Not Placed
3,14,14,F,77,Central,87,Central,Commerce,59,Comm&Mgmt,No,68,Mkt&Fin,68.63,218000,Placed
4,15,15,M,62,Central,47,Central,Commerce,50,Comm&Mgmt,No,76,Mkt&HR,54.96,NA,Not Placed
5,16,16,F,65,Central,75,Central,Commerce,69,Comm&Mgmt,Yes,72,Mkt&Fin,64.66,200000,Placed
6,17,17,M,63,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,Yes,60,Mkt&Fin,62.54,300000,Placed
7,23,23,F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,No,55.53,Mkt&HR,68.81,360000,Placed
8,24,24,F,77.4,Others,60,Others,Science,64.74,Sci&Tech,Yes,92,Mkt&Fin,63.62,300000,Placed
9,25,25,M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,No,97.4,Mkt&Fin,74.01,360000,Placed
10,26,26,F,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,Yes,76,Mkt&Fin,65.33,NA,Not Placed
11,28,28,M,63,Others,67,Others,Commerce,66,Comm&Mgmt,No,68,Mkt&HR,57.69,265000,Placed
12,30,30,M,62,Central,67,Central,Commerce,58,Comm&Mgmt,No,77,Mkt&Fin,51.29,NA,Placed
13,40,40,M,81,Others,68,Others,Science,64,Sci&Tech,No,93,Mkt&Fin,62.56,411000,Placed
14,42,42,F,74,Others,63.16,Others,Commerce,65,Comm&Mgmt,Yes,65,Mkt&HR,69.76,NA,Placed
15,43,43,M,49,Others,39,Central,Science,65,Others,No,63,Mkt&Fin,51.21,NA,Not Placed
16,46,46,F,76,Central,64,Central,Science,72,Sci&Tech,No,58,Mkt&HR,66.53,NA,Placed
17,49,49,M,63,Others,62,Others,Commerce,68,Comm&Mgmt,No,64,Mkt&Fin,62.46,250000,Placed
18,50,50,F,50,Others,37,Others,Arts,52,Others,No,65,Mkt&HR,56.11,NA,Not Placed
19,53,53,F,40.89,Others,45.83,Others,Commerce,53,Comm&Mgmt,No,71.2,Mkt&HR,65.49,NA,Not Placed
20,55,55,F,74,Central,60,Others,Science,69,Comm&Mgmt,No,78,Mkt&HR,65.56,216000,Placed
21,56,56,M,60.4,Central,66.6,Others,Science,65,Comm&Mgmt,No,71,Mkt&HR,52.71,220000,Placed
22,59,59,M,74,Central,62,Others,Science,68,Comm&Mgmt,No,74,Mkt&Fin,57.99,268000,Placed
23,60,60,M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,No,57.6,Mkt&Fin,56.66,265000,Not Placed
24,61,61,M,74,Central,70,Central,Science,72,Comm&Mgmt,Yes,60,Mkt&Fin,57.24,260000,Placed
25,62,62,M,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,No,61.6,Mkt&Fin,62.48,300000,Placed
26,64,64,M,61,Others,70,Others,Commerce,64,Comm&Mgmt,No,68.5,Mkt&HR,59.5,NA,Placed
27,66,66,M,54,Others,47,Others,Science,57,Comm&Mgmt,No,89.69,Mkt&HR,57.1,NA,Not Placed
28,67,67,M,83,Others,74,Others,Science,66,Comm&Mgmt,No,68.92,Mkt&HR,58.46,275000,Placed
29,68,68,M,80.92,Others,78.5,Others,Commerce,67,Comm&Mgmt,No,68.71,Mkt&Fin,60.99,275000,Placed
30,70,70,M,73,Central,73,Central,Science,66,Sci&Tech,Yes,70,Mkt&Fin,68.07,275000,Placed
31,71,71,M,82,Others,61,Others,Science,62,Sci&Tech,No,89,Mkt&Fin,65.45,360000,Placed
32,72,72,M,75,Others,70.29,Others,Commerce,71,Comm&Mgmt,No,95,Mkt&Fin,66.94,240000,Placed
33,74,74,M,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,No,86,Mkt&Fin,59.75,218000,Placed
34,75,75,M,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,No,84.27,Mkt&Fin,67.2,336000,Not Placed
35,80,80,F,69,Central,62,Central,Science,66,Sci&Tech,No,75,Mkt&HR,67.99,NA,Placed
36,81,81,F,69,Others,62,Others,Commerce,69,Comm&Mgmt,Yes,67,Mkt&HR,62.35,240000,Placed
37,85,85,M,70,Central,63,Others,Science,70,Sci&Tech,Yes,55,Mkt&Fin,62,300000,Placed
38,86,86,F,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,Yes,78.74,Mkt&Fin,76.18,400000,Placed
39,88,88,M,59.6,Central,51,Central,Science,60,Others,No,75,Mkt&HR,59.08,NA,Not Placed
40,92,92,M,52,Central,57,Central,Commerce,50.8,Comm&Mgmt,No,67,Mkt&HR,62.79,NA,Not Placed
41,94,94,M,52,Central,62,Central,Commerce,54,Comm&Mgmt,No,72,Mkt&HR,55.41,NA,Not Placed
42,95,95,M,58,Central,62,Central,Commerce,64,Comm&Mgmt,No,53.88,Mkt&Fin,54.97,260000,Not Placed
43,100,100,M,54,Central,82,Others,Commerce,63,Sci&Tech,No,50,Mkt&Fin,59.47,NA,Not Placed
44,103,103,F,77,Others,61,Others,Commerce,68,Comm&Mgmt,Yes,57.5,Mkt&Fin,61.31,300000,Placed
45,104,104,M,73,Central,78,Central,Science,73,Sci&Tech,Yes,85,Mkt&HR,65.83,240000,Placed
46,120,120,M,60.8,Central,68.4,Central,Commerce,64.6,Comm&Mgmt,Yes,82.66,Mkt&Fin,64.34,940000,Placed
47,122,122,F,64,Central,67,Others,Science,69.6,Sci&Tech,Yes,55.67,Mkt&HR,71.49,250000,Placed
48,124,124,M,74,Others,59,Others,Commerce,73,Comm&Mgmt,Yes,60,Mkt&HR,56.7,240000,Placed
49,131,131,M,62,Central,65,Others,Commerce,60,Comm&Mgmt,No,84,Mkt&Fin,64.15,NA,Not Placed
50,150,150,M,44,Central,58,Central,Arts,55,Comm&Mgmt,Yes,64.25,Mkt&HR,58.54,NA,Not Placed
51,151,151,M,71,Central,58.66,Central,Science,58,Sci&Tech,Yes,56,Mkt&Fin,61.3,690000,Placed
52,152,152,M,65,Central,65,Central,Commerce,75,Comm&Mgmt,No,83,Mkt&Fin,58.87,270000,Placed
53,154,154,M,49,Others,59,Others,Science,65,Sci&Tech,Yes,86,Mkt&Fin,62.48,340000,Not Placed
54,163,163,M,74.2,Central,87.6,Others,Commerce,77.25,Comm&Mgmt,Yes,75.2,Mkt&Fin,66.06,285000,Placed
55,164,164,M,63,Others,67,Others,Science,64,Sci&Tech,No,75,Mkt&Fin,66.46,500000,Not Placed
56,173,173,M,73,Others,58,Others,Commerce,56,Comm&Mgmt,No,84,Mkt&HR,52.64,300000,Placed
57,184,184,M,65,Central,77,Central,Commerce,69,Comm&Mgmt,No,60,Mkt&HR,61.82,276000,Placed
58,190,190,F,54,Central,77.6,Others,Commerce,69.2,Comm&Mgmt,No,95.65,Mkt&Fin,66.94,NA,Not Placed
59,192,192,M,67,Others,61,Central,Science,72,Comm&Mgmt,No,72,Mkt&Fin,61.01,264000,Placed
60,193,193,M,65.2,Central,61.4,Central,Commerce,64.8,Comm&Mgmt,Yes,93.4,Mkt&Fin,57.34,270000,Placed
61,195,195,M,52,Others,55,Others,Commerce,56.3,Comm&Mgmt,No,59,Mkt&Fin,64.74,NA,Not Placed
62,200,200,M,69,Others,65,Others,Commerce,57,Comm&Mgmt,No,73,Mkt&HR,55.8,265000,Placed
63,204,204,M,55.68,Others,61.33,Others,Commerce,56.87,Comm&Mgmt,No,66,Mkt&HR,58.3,260000,Not Placed
64,209,209,F,43,Central,60,Others,Science,65,Comm&Mgmt,No,92.66,Mkt&HR,62.92,NA,Not Placed
65,212,212,M,58,Others,60,Others,Science,72,Sci&Tech,No,74,Mkt&Fin,53.62,275000,Placed
66,215,215,M,62,Central,58,Others,Science,53,Comm&Mgmt,No,89,Mkt&HR,60.22,NA,Not Placed
